player,team,pos,gp,wins,losses,kda,car,composite,champs,radar_axes,role_rank
Caps,G2 Esports,Middle,15,6,9,2.5,24.3,0.694,Syndra x4; Cassiopeia x2; LeBlanc x1,"[{""label"": ""Laning"", ""z"": 1.611}, {""label"": ""Economy"", ""z"": -0.087}, {""label"": ""Damage Efficiency"", ""z"": 1.127}, {""label"": ""Survival"", ""z"": -0.504}]",2
Creme,Top Esports,Middle,9,3,6,3.7,17.7,0.43,Hwei x2; Yone x2; Cassiopeia x1,"[{""label"": ""Laning"", ""z"": 0.03}, {""label"": ""Economy"", ""z"": 0.039}, {""label"": ""Damage Efficiency"", ""z"": 0.674}, {""label"": ""Survival"", ""z"": 1.252}]",3
HongSuo,Deep Cross Gaming,Middle,6,0,6,1.3,9.9,0.119,Galio x1; LeBlanc x1; Ryze x1,"[{""label"": ""Laning"", ""z"": -0.178}, {""label"": ""Economy"", ""z"": 2.39}, {""label"": ""Damage Efficiency"", ""z"": -0.942}, {""label"": ""Survival"", ""z"": -0.593}]",4
kyeahoo,Karmine Corp,Middle,9,3,6,5.1,9.9,0.119,Orianna x2; Cassiopeia x2; Taliyah x2,"[{""label"": ""Laning"", ""z"": 0.613}, {""label"": ""Economy"", ""z"": -0.723}, {""label"": ""Damage Efficiency"", ""z"": -1.15}, {""label"": ""Survival"", ""z"": 1.399}]",4
Faker,T1,Middle,21,15,6,3.7,9.4,0.097,Ryze x3; Annie x3; Taliyah x3,"[{""label"": ""Laning"", ""z"": 0.925}, {""label"": ""Economy"", ""z"": -0.846}, {""label"": ""Damage Efficiency"", ""z"": -0.201}, {""label"": ""Survival"", ""z"": -0.059}]",6
Saint,LYON,Middle,17,11,6,3.8,2.7,-0.172,Viktor x5; Taliyah x2; Sylas x2,"[{""label"": ""Laning"", ""z"": -0.614}, {""label"": ""Economy"", ""z"": -0.655}, {""label"": ""Damage Efficiency"", ""z"": 1.17}, {""label"": ""Survival"", ""z"": -0.283}]",7
Zeka,Hanwha Life Esports,Middle,20,13,7,6.1,2.6,-0.174,Ahri x3; Yone x3; Viktor x2,"[{""label"": ""Laning"", ""z"": -0.074}, {""label"": ""Economy"", ""z"": -1.461}, {""label"": ""Damage Efficiency"", ""z"": -0.314}, {""label"": ""Survival"", ""z"": 1.082}]",8
Quid,Team Liquid,Middle,12,6,6,3.8,-2.6,-0.382,Akali x2; Galio x2; Ryze x2,"[{""label"": ""Laning"", ""z"": -1.155}, {""label"": ""Economy"", ""z"": 0.292}, {""label"": ""Damage Efficiency"", ""z"": 0.544}, {""label"": ""Survival"", ""z"": -0.675}]",9
Tutsz,FURIA,Middle,6,0,6,2.0,-14.1,-0.843,Ryze x2; Aurora x2; Sylas x1,"[{""label"": ""Laning"", ""z"": -1.322}, {""label"": ""Economy"", ""z"": 0.312}, {""label"": ""Damage Efficiency"", ""z"": -0.874}, {""label"": ""Survival"", ""z"": -1.16}]",10
Dire,Team Secret Whales,Middle,10,3,7,2.2,-14.8,-0.868,Ryze x2; Aurora x2; Sylas x2,"[{""label"": ""Laning"", ""z"": -1.072}, {""label"": ""Economy"", ""z"": 0.47}, {""label"": ""Damage Efficiency"", ""z"": -1.339}, {""label"": ""Survival"", ""z"": -1.393}]",11
ON,Bilibili Gaming,Support,17,11,6,4.1,20.1,0.695,Shen x3; Bard x3; Alistar x2,"[{""label"": ""Laning"", ""z"": 1.247}, {""label"": ""Vision"", ""z"": 0.911}, {""label"": ""Survival"", ""z"": -0.95}, {""label"": ""Fight Presence"", ""z"": 1.001}]",1
Delight,Hanwha Life Esports,Support,20,13,7,4.2,16.0,0.529,Camille x5; Bard x2; Milio x2,"[{""label"": ""Laning"", ""z"": 0.657}, {""label"": ""Vision"", ""z"": 0.389}, {""label"": ""Survival"", ""z"": 1.057}, {""label"": ""Fight Presence"", ""z"": 0.258}]",2
ShiauC,Deep Cross Gaming,Support,6,0,6,1.4,13.7,0.437,Camille x2; Nautilus x2; Pyke x1,"[{""label"": ""Laning"", ""z"": 1.35}, {""label"": ""Vision"", ""z"": 0.543}, {""label"": ""Survival"", ""z"": 0.057}, {""label"": ""Fight Presence"", ""z"": -0.645}]",3
JoJo,FURIA,Support,6,0,6,3.2,12.6,0.394,Rell x2; Karma x1; Milio x1,"[{""label"": ""Laning"", ""z"": 0.598}, {""label"": ""Vision"", ""z"": -0.452}, {""label"": ""Survival"", ""z"": 0.86}, {""label"": ""Fight Presence"", ""z"": 2.215}]",4
